
CREATE TABLE MiddleEarthOrbitSatellites (
    SatelliteName VARCHAR(255),
    ServicesProvided VARCHAR(255),
    CyberAttackTypes VARCHAR(255),
    OwnerCountry VARCHAR(255)
);


INSERT INTO MiddleEarthOrbitSatellites (SatelliteName, ServicesProvided, CyberAttackTypes, OwnerCountry)
VALUES
    ('Galileo 1', 'Navigation and positioning', 'Jamming, spoofing', 'European Union'),
    ('GLONASS 1', 'Global Navigation Satellite System', 'Interception, cyber attacks', 'Russia'),
    ('IRNSS 1', 'Regional Navigation and Positioning', 'Data breaches, signal jamming', 'India'),
    ('Beidou 1', 'Global Navigation Satellite System', 'Signal spoofing, data interception', 'China'),
    ('Inmarsat 1', 'Communication', 'DDoS attacks, hacking', 'UK'),
    ('SES 1', 'Communication', 'Data theft, sabotage', 'Luxembourg'),
    ('AMC 1', 'Communication', 'Data breaches, hacking', 'USA'),
    ('O3b 1', 'Internet Connectivity', 'Cyber espionage, data manipulation', 'USA'),
    ('KOMPSAT 1', 'Earth Observation', 'Data interception, sabotage', 'South Korea'),
    ('CBERS 1', 'Earth Observation', 'Data manipulation, cyber attacks', 'Brazil'),
    ('Hylas 1', 'Communication', 'Hacking, data loss', 'UK'),
    ('Chinasat 1', 'Communication', 'DDoS attacks, data breaches', 'China'),
    ('NAVSTAR 1', 'Global Positioning System', 'Signal jamming, spoofing', 'USA'),
    ('Artemis 1', 'Space Research', 'Malware, data interception', 'International'),
    ('Alphabus 1', 'Communication', 'Hacking, data breaches', 'International');
